"26957420","临高启明","","'[美] 彼得·海斯勒'","'李雪顺'","'上海译文出版社'","'2011-1'","'33.00元'","9.5"
"11535055","卿本惊华","妾本惊华终结篇","西子情","","江苏文艺出版社","2012-8","75.00元","6.5"
"25725666","活在晚明①","当时年少春衫薄","贼道三痴","","北京时代华文书局","2013-8","29.80","7.9"
"19281910","海棠依舊：知否？知否？應是綠肥紅瘦 卷五","直令桃李能言語，何似多情睡海棠","關心則亂、呀呀","","封面繪圖","三采","2012-9","8.5"
"3568383","以王之名","Ⅰ、Ⅱ、Ⅲ","那只狐狸","","广东旅游出版社","2009.2","25.80元","7.9"
"5293819","羅馬浴場 Ⅰ","","ヤマザキマリ","涂愫芸","台灣角川","2010-11-19","NT$120","8.4"
"3004594","新宋·十字3","","阿越","","花山文艺出版社","2008-03","22.0","8.6"
"10518698","穿越之第一夫君","","蜀客","","陕西人民出版社","2012-1","19.80元","7.0"
"6727858","鬼差","","十七、夜摩","","藍襪子出版社","2011-4-19","54.00","7.8"
"3664145","史上第一混乱·第三季·武林大会","","张小花","","黄山书社","2009-4","26.80元","8.8"
"3918857","诛颜","","'张小花'","''","'黄山书社'","'2009-4'","'26.80元'","6.7"
"3053120","新宋Ⅱ·权柄2","","阿越","","花山文艺出版社","2008","26.8","8.6"
"5936095","医道官途","","叶凌云","","河北大学出版社","2010-12","26.80元","7.3"
"2970172","新宋·十字2","","阿越","","花山文艺出版社","2008-02","22.00元","8.6"
"2368190","执手千年（上下）","","木轩然","","朝华出版社","2008-01","49.8","7.0"
"20563214","俊男坊·阴差阳错（全两册）","","末果","","无江苏文艺出版社","2013-2","49.80元","7.7"
"3629689","皇家魔女学院","","古杏花","","汕头大学出版社","2009-1","25.00元","8.7"
"26169962","大宋女刺客（上下）","","袖唐","","江苏凤凰文艺出版社","2014-11","59.80元","7.1"
"4048188","千面风华（上下）","","林家成","","江苏文艺出版社","2009-9","49.80元","6.5"
"1988401","我的灵魂在古代·壹","","半个灵魂","","天津人民出版社","2006-12","20.0","6.3"
"26410186","女帝本色1","女人花","天下归元","","江苏凤凰文艺出版社","2015-6-1","CNY 59.80","7.5"
"26611272","步步惊华终结篇","","穆丹枫","","江苏凤凰文艺出版社","2015-9","55.00元","7.1"
"3306251","离魂","","蓝紫青灰","","珠海出版社","2009-01","29.80","7.5"
"3795706","皇家幼儿园","","玄色","","百花文艺出版社","2009-6","69.00元","6.7"
"25729887","宦妃·完美终结","","青青的悠然","","青岛出版社","2013-10","55.00","7.1"
