24861179,我的青春恋爱喜剧果然有问题 04,,[日] 渡航 著、[日] ponkan⑧ 绘,Dying,安徽少年儿童出版社,2013-8-1,CNY 22.00,9.1
6517285,無頭騎士異聞錄 DuRaRaRa!! ×9,,成田良悟、ヤスダスズヒト,正樹七十,台灣國際角川書店,2011-7,80.00元,8.8
25734194,古书堂事件手帖 03,栞子与无法消失的牵绊,[日] 三上延 著、[日] 越岛羽空 绘,羽蛇,湖南美术出版社,2013-11,27.00元,8.3
20473089,有顶天家族,,[日] 森见登美彦,高詹燦,上海人民出版社,2013-3,35.00元,8.6
6439140,离别的钢琴奏鸣曲 01,,[日] 杉井光 著、[日] 植田亮 绘,Overdose,湖南美术出版社,2011-7,25.00元,8.6
6428538,第一辩手4,密室与期末考,双子星罗,,长江出版社,2011-5,14.80元,8.4
26275915,Re: 從零開始的異世界生活 01,,長月達平、大塚真一郎,黃盈琪,青文出版社,2015-2-10,NT$220,7.4
2037955,绝妙逻辑（上）,兔吊木垓辅之戏言杀手,西尾维新,,常纯敏,尖端,2007,8.3
2214137,鬼哭街 鬼眼麗人,,虚淵玄,,角川書店,2005-2,JPY 600,8.3
5934805,漆夜·镰与帆,,伊谢尔伦的风,,新世界出版社,2011-1,18.00元,8.3
4247935,AURA~魔龍院光牙最後的戰鬥~,,田中羅密歐、mebae,哈泥蛙,尖端出版社,2010-01-15,NT$240,8.8
26634706,天久鷹央的推理病歷表,,知念実希人、插畫： いとうのいぢ,周若珍,東立,2016-1-8,NT$250,7.7
6508619,煌夜祭,,多崎礼、山本大和,krpt,青文出版社,2011-7-25,NT$220,9.4
25908389,Starting Over 重啟人生,,三秋縋、E9L,洪于琇,台灣角川,2014-8-7,NT$220,7.0
3279031,文學少女（05）,絕望慟哭的信徒,野村美月,,尖端出版社,2008-11-13,NT$200,9.0
7916241,奋斗吧！系统工程师 01,两周内即可上手？SE入门,[日] 夏海公司 著、[日] Ixy 绘,志麻,湖南美术出版社,2012-2,23.00元,7.6
25785434,エロマンガ先生 妹と開かずの間,妹と開かずの間,伏見つかさ、かんざきひろ (イラスト),,アスキー・メディアワークス,2013-12-10,JPY 641,7.0
5960460,Fate／Zero（2） 英霊参集,,虚淵 玄、武内 崇,,講談社,2011-2-10,JPY 750,9.4
4866987,如果·宅,,有时右逝、丁长宏,,云南人民出版社,2010-6,29.90元,8.6
23765048,K SIDE:BLACK&WHITE,,宮沢 龍生(GoRA)、鈴木 信吾(GoHands),,講談社,2013-5-21,JPY 1470,7.7
5406925,Fate／Zero（1） 第四次聖杯戦争秘話,,虚淵 玄著、武内 崇絵,,講談社,2011-1,¥714,9.1
1439746,奇诺之旅II,THE BEAUTIFUL WORLD,时雨泽惠一,庄湘萍,台湾角川,2004,NT180,9.2
1779224,涼宮春日的暴走,,谷川流,,台灣角川,2005-12-28,NTD 180,8.7
25748125,刀剑神域 进击篇 01,,[日] 川原砾 著、[日] abec 绘,幽远,湖南美术出版社,2013-11,30.00元,8.2
3841649,长安幻夜,小说版2,面堂兄、范黎明,,黑龙江美术出版社,2009-7,22.80元,8.8
5275433,罂笼葬,,久远 著、Izumi 绘,,湖南美术出版社,2010-10,26.00元,8.4
26825833,掟上今日子的挑戰狀,,西尾維新,緋華璃,青空文化,2016-7-11,NT260,7.3
26711356,那年夏天，我撥去的電話,,三秋縋、Usi,邱鍾仁,台灣角川,2016-3-17,NT$260,7.9
2282009,我們在虛空中巡視夜晚,,上遠野浩平,曾玲玲,尖端,2007,NT200,7.9
21810000,初音未來的消失 小說版,,cosMo@暴走P、阿賀三夢也、夕薙,許昆暉,東立出版社,2013-4-22,NT$240,7.0
5243461,渴求真爱的幽灵,文学少女2,[日] 野村美月 文、竹冈美穗 图,哈娜,人民文学出版社,2010-10,20.00元,8.7
20365335,K SIDE:BLUE,,[日] 野村美月 文、竹冈美穗 图,哈娜,人民文学出版社,2010-10,20.00元,8.1
3249537,傳說的勇者的傳說 01,午睡王國的野心,鏡貴也,,奇幻基地,2008年07月11日,NT$200,8.0
