"1440589","浪客剑心","","'让·科克托'","'周怡芳'","'华东师范大学出版社'","'2005'","'19.80元'","8.7"
"1444157","几乎成了英雄","","张嘉佳","","新星出版社","2005-11","18.00元","7.2"
"1448477","日本简史","","王新生","","北京大学","2005-11","24.00元","6.4"
"1452923","九州·斛珠夫人","","萧如瑟","","新世界出版社","2006-1","20.00元","8.0"
"1470158","圆舞","","[加] 亦舒","","南海出版公司","2002-10","17.00元","8.0"
"1477146","豺狼的日子","","[英]弗·福塞斯","陈笃忱","中国电影出版社","1979-11","1.60","8.7"
"1485480","太和舞","","藤萍","","新星出版社","2005-10","16.00元","8.0"
"1489494","人与永恒","","周国平","","北岳文艺出版社","2006年2月1日","18.0","8.5"
"1705507","胭脂扣","","李碧华","","新世界出版社","2006-1","18.00元","8.0"
"1762869","如彗星划过夜空","近距离看美国之四","林达","","生活·读书·新知三联书店","2006-3","21.00元","8.9"
"2363651","十四堂人生创意课","","李欣频","","电子工业出版社","2008-1","26.00","8.2"
"2377537","活着，为了什么？","","以马内利修女","华宇","深圳报业集团出版社","2008","28.00元","8.3"
"2241214","味至浓时即家乡","","梁实秋","","陕西师范大学","2007-9","19.80元","8.7"
"1077528","通往奴役之路","","哈耶克","王明毅、冯兴元、等","中国社会科学出版社","1997-08-01","16.00","8.9"
"2226278","宗教的起源与发展","西方学术译丛","（德）麦克思·缪勒","金泽","上海人民出版社","1989.6","3.50","7.4"
"1082172","蝴蝶过期居留","","张小娴","","南海出版公司","2002-2","15.00元","7.6"
"1080812","红鞋","","张悦然","","上海译文出版社","2004-07","18.00元","7.1"
"1080370","情书","","[日] 岩井俊二","穆晓芳","天津人民出版社","2004-7","18.00元","8.6"
"1078566","桃之夭夭","","王安忆","","上海文艺出版社","2004-01","20.00","7.6"
"2082194","小时候","","桑格格","","新星出版社","2007-5","28.00元","8.2"
"2114580","听雪楼系列典藏版（全三册）","","沧月","","新世界出版社","2007-01","63.0","8.8"
"2115041","邻居太太的情人","","亦舒","","新世界出版社","2007-5","18.00元","6.9"
"2137632","天堂之鸟","三毛摄影诗歌集","三毛、肖全","","成都科技大学出版社","1991年3月","3.2","8.9"
"2147647","物质生活","","[法] 玛格丽特·杜拉斯","王道乾","上海译文出版社","2007-7","25.00元","7.9"
"2149710","再见了，马拉卡纳","《世界文学》地理小说集粹","[巴西]戈乌迪奥　等","姚京明 等","人民文学出版社","2007-7","19.80元","7.4"
"2158684","象棋的故事","","[奥] 斯台芬·茨威格","张玉书","上海译文出版社","2007-7","23.00元","9.0"
"2159042","挪威的森林","","[日] 村上春树","林少华","上海译文出版社","2007-7","23.00元","8.4"
"2160952","让孩子告别网瘾","网瘾戒治纪实","杨永信","","人民军医出版社","2007-6","20.0","2.3"
"2180619","偷书贼","","[澳] 马克斯·苏萨克","孙张静","南海出版公司","2007-8","25.00元","8.0"
"3091349","鲤·孤独","","张悦然 主编","","江苏文艺出版社","2008-6","25.00元","7.3"
"1353132","沉默。暗啞。微小。","智慧田057","黃碧雲","","臺北大田","2004-8-30","230","8.5"
"2311695","岛（Vol.09）","庞贝","郭敬明 主编","","春风文艺出版社","2007-11","20.00元","7.2"
"2147647","物质生活","","[法] 玛格丽特·杜拉斯","王道乾","上海译文出版社","2007-7","25.00元","7.9"
"2149710","再见了，马拉卡纳","《世界文学》地理小说集粹","[巴西]戈乌迪奥　等","姚京明 等","人民文学出版社","2007-7","19.80元","7.4"
"2158684","象棋的故事","","[奥] 斯台芬·茨威格","张玉书","上海译文出版社","2007-7","23.00元","9.0"
"2159042","挪威的森林","","[日] 村上春树","林少华","上海译文出版社","2007-7","23.00元","8.4"
"2160952","让孩子告别网瘾","网瘾戒治纪实","杨永信","","人民军医出版社","2007-6","20.0","2.3"
"2180619","偷书贼","","[澳] 马克斯·苏萨克","孙张静","南海出版公司","2007-8","25.00元","8.0"
"2226278","宗教的起源与发展","西方学术译丛","（德）麦克思·缪勒","金泽","上海人民出版社","1989.6","3.50","7.4"
"1382829","萬水千山走遍","","'（德）麦克思·缪勒'","'金泽'","'上海人民出版社'","'1989.6'","'3.50'","8.6"
"2241214","味至浓时即家乡","","梁实秋","","陕西师范大学","2007-9","19.80元","8.7"
"2243419","空事","她注定穿梭于黑白的幻境——时代的《空事》","路佳瑄","","北方文艺","2007-9","20.00元","5.7"
"2244170","电光幻影","","亦舒","","新世界出版社","2007-8","18.00元","7.7"
