3746065,工程和设计中的人因学,,Stephanidis, Constantine (EDT),,Springer,2009-08-12,USD 119.00,7.6
3712207,Change by Design,How Design Thinking Transforms Organizations and Inspires Innovation,Tim Brown,,HarperBusiness,2009-10-1,USD 27.99,7.9
2128991,Interaction of Color,Revised and Expanded Edition,Josef Albers,,Yale University Press; Rev Exp edition (May 15, 2006),2006-5-15,$15,9.1
1472946,《华尔街日报》是如何讲故事的,,[美] 威廉·E.布隆代尔,徐扬,华夏出版社,2006-1,38.00元,8.4
1484389,Contextual Design,Defining Customer-Centered Systems,Hugh Beyer、Karen Holtzblatt,,Morgan Kaufmann,1997-9-15,USD 85.95,7.6
1491830,栅格系统与版式设计,,金伯利·伊拉姆,王昊,上海人民美术出版社,2006-1,48.00元,8.4
1493780,心理与行为科学统计,,甘怡群,,北京大学出版社,2005,28.8,8.3
1500189,情趣的设计世界,,张剑,,福建美术出版社,2005-7,45.0,7.0
1615055,工业设计心理学,,李乐山,,高等教育出版社图书发行部（兰色畅想）,2004-1,25.70元,7.6
1246807,Web软件用户界面设计指南,,林锐、唐勇、石志强,,电子工业出版社,2005-5-1,20.00元,7.0
4009856,用户体验度量,,[美] 特里斯(Tullis.T.)、[美] 阿伯特(Albert.B.),周荣刚,机械工业,2009-8,49.00,8.1
4016085,Search Patterns,Design for Discovery,Peter Morville、Jeffery Callender,,O'Reilly Media,2010-2-2,USD 39.99,7.5
4059610,Digital Fabrications,Architectural and Material Techniques,Lisa Iwamoto,,Princeton Architectural Press,2009-7-1,USD 24.95,8.9
2175995,CSS网站布局实录（第2版）,基于Web标准的网站设计指南,李超,,科学出版社,2007-9,39.00元,8.3
1244410,软件设计的艺术,,李超,,科学出版社,2007-9,39.00元,8.1
4125520,Diagrams,Innovative Solutions for Graphic Designers,Jessica Glaser、Carolyn Knight,,RotoVision,2009-11-1,USD 40.00,7.8
1316642,The Visual Display of Quantitative Information,,Edward R. Tufte,,Graphics Pr,2001.05,USD 40.00,9.0
